                               |nw = 0, c+1 = 2
                              1|nw = 1, c+1 = 4
                             1 |nw = 2, c+1 = 18
                             11|nw = 3, c+1 = 7
                            1  |nw = 4, c+1 = 12
                            1 1|nw = 5, c+1 = 13
                            11 |nw = 6, c+1 = 14
                            111|nw = 7, c+1 = 23
                           1   |nw = 8, c+1 = 69
                           1  1|nw = 9, c+1 = 25
                           1 1 |nw = 10, c+1 = 30
                           1 11|nw = 11, c+1 = 24
                           11  |nw = 12, c+1 = 131
                           11 1|nw = 13, c+1 = 26
                           111 |nw = 14, c+1 = 28
                           1111|nw = 15, c+1 = 27
                          1    |nw = 16, c+1 = 46
                          1   1|nw = 17, c+1 = 1028
                          1   1|nw = 17, c+1 = 1034
                          1   1|nw = 17, c+1 = 141
                          1   1|nw = 17, c+1 = 154
                          1   1|nw = 17, c+1 = 299
                          1   1|nw = 17, c+1 = 56
                          1   1|nw = 17, c+1 = 59
                          1  1 |nw = 18, c+1 = 47
                          1  1 |nw = 18, c+1 = 49
                          1  1 |nw = 18, c+1 = 590
                          1  11|nw = 19, c+1 = 151
                          1  11|nw = 19, c+1 = 155
                          1  11|nw = 19, c+1 = 263
                          1  11|nw = 19, c+1 = 57
                          1  11|nw = 19, c+1 = 87
                          1 1  |nw = 20, c+1 = 1036
                          1 1  |nw = 20, c+1 = 271
                          1 1  |nw = 20, c+1 = 48
                          1 1  |nw = 20, c+1 = 50
                          1 1  |nw = 20, c+1 = 576
                          1 1  |nw = 20, c+1 = 60
                          1 1 1|nw = 21, c+1 = 137
                          1 1 1|nw = 21, c+1 = 138
                          1 1 1|nw = 21, c+1 = 269
                          1 1 1|nw = 21, c+1 = 589
                          1 1 1|nw = 21, c+1 = 86
                          1 11 |nw = 22, c+1 = 291
                          1 11 |nw = 22, c+1 = 51
                          1 11 |nw = 22, c+1 = 80
                          1 11 |nw = 22, c+1 = 82
                          1 111|nw = 23, c+1 = 152
                          1 111|nw = 23, c+1 = 298
                          1 111|nw = 23, c+1 = 58
                          1 111|nw = 23, c+1 = 88
                          11   |nw = 24, c+1 = 143
                          11   |nw = 24, c+1 = 515
                          11   |nw = 24, c+1 = 531
                          11   |nw = 24, c+1 = 579
                          11   |nw = 24, c+1 = 593
                          11   |nw = 24, c+1 = 63
                          11  1|nw = 25, c+1 = 262
                          11  1|nw = 25, c+1 = 516
                          11  1|nw = 25, c+1 = 52
                          11  1|nw = 25, c+1 = 61
                          11  1|nw = 25, c+1 = 90
                          11 1 |nw = 26, c+1 = 142
                          11 1 |nw = 26, c+1 = 156
                          11 1 |nw = 26, c+1 = 293
                          11 1 |nw = 26, c+1 = 300
                          11 11|nw = 27, c+1 = 264
                          11 11|nw = 27, c+1 = 519
                          11 11|nw = 27, c+1 = 520
                          11 11|nw = 27, c+1 = 532
                          11 11|nw = 27, c+1 = 54
                          11 11|nw = 27, c+1 = 84
                          111  |nw = 28, c+1 = 53
                          111  |nw = 28, c+1 = 62
                          111  |nw = 28, c+1 = 64
                          111  |nw = 28, c+1 = 83
                          111 1|nw = 29, c+1 = 153
                          111 1|nw = 29, c+1 = 55
                          111 1|nw = 29, c+1 = 580
                          111 1|nw = 29, c+1 = 89
                          1111 |nw = 30, c+1 = 270
                          1111 |nw = 30, c+1 = 272
                          1111 |nw = 30, c+1 = 594
                          1111 |nw = 30, c+1 = 85
                          11111|nw = 31, c+1 = 139
                          11111|nw = 31, c+1 = 157
                          11111|nw = 31, c+1 = 292
                          11111|nw = 31, c+1 = 535
                          11111|nw = 31, c+1 = 91
                         1     |nw = 32, c+1 = 1029
                         1     |nw = 32, c+1 = 117
                         1     |nw = 32, c+1 = 581
                         1    1|nw = 33, c+1 = 116
                         1    1|nw = 33, c+1 = 308
                         1    1|nw = 33, c+1 = 537
                         1   1 |nw = 34, c+1 = 113
                         1   1 |nw = 34, c+1 = 274
                         1   1 |nw = 34, c+1 = 303
                         1   1 |nw = 34, c+1 = 97
                         1   1 |nw = 34, c+1 = 98
                         1   11|nw = 35, c+1 = 1031
                         1   11|nw = 35, c+1 = 170
                         1   11|nw = 35, c+1 = 173
                         1   11|nw = 35, c+1 = 280
                         1   11|nw = 35, c+1 = 536
                         1   11|nw = 35, c+1 = 541
                         1   11|nw = 35, c+1 = 93
                         1  1  |nw = 36, c+1 = 1039
                         1  1  |nw = 36, c+1 = 112
                         1  1  |nw = 36, c+1 = 174
                         1  1  |nw = 36, c+1 = 595
                         1  1 1|nw = 37, c+1 = 1037
                         1  1 1|nw = 37, c+1 = 171
                         1  1 1|nw = 37, c+1 = 282
                         1  11 |nw = 38, c+1 = 158
